"Tidsmerke","Age","Gender","How familiar are you with the concepts of water reuse, water conservation, and symbiosis? ","Have you previously participated in water-related initiatives/efforts like this one? ","How often do you engage with events related to environmental sustainability? ","How interested are you in learning more about water management or conservation practices? ","Have you ever used an Augmented Reality (AR), Virtual Reality (VR), or another type of immersive experience (IMX) before?","To what extent has your existing knowledge influenced your understanding of water reuse and symbiosis portrayed in the AR Sandbox?","Has your perception of the importance of water management practices changed after engaging with the AR Sandbox? ","The AR Sandbox environment responded well to my hand movements, allowing me to interact with the sandbox and manipulate the virtual terrain effectively. ","Using AR Sandbox with hand movement felt natural to me; for example, I could easily shape the terrain and observe changes based on my movements. ","I felt immersed in the gameplay while using AR Sandbox (for example, when sculpting the terrain or observing the effects of water flow). ","I felt comfortable using AR Sandbox with hand movement (for example, when using movements to add or remove water from the virtual environment). ","I felt like I had good control over what I did in AR Sandbox (for example, using movements to sculpt detailed landforms or control water flow). ","Time felt different than usual when I was using AR Sandbox (for example, it felt like time passed quickly). ","I am satisfied using AR Sandbox with hand movement (for example, using movements to interact with the sandbox and navigate the virtual environment). ","I had fun using AR Sandbox with hand movement; it was an exciting and engaging experience. ","I wanted to stay longer in AR Sandbox because it was exciting; I didn't want the experience to end. ","I felt confident using AR Sandbox with hand movement (for example, knowing how to effectively use movements to manipulate the virtual environment).","Overall, I think AR Sandbox with hand movement is a useful and practical way to learn about water systems and conservation practices. ","I liked AR Sandbox with hand movement and found it enjoyable (for example, it made learning about water effects in the ecosystem interactive). ","If I use AR Sandbox with hand movement again, I think I will understand it better (for example, becoming more proficient at using movements to interact with the virtual environment). ","What did you like about your experience using AR Sandbox with hand movement? ","What did you not like about your experience using AR Sandbox with hand movement? ","Do you have any ideas to improve the experience using AR Sandbox with hand movement? "
"2024/05/23 2:55:33 p.m. EEST","22","Male","Moderately","Yes","Rarely or never","Moderately","Yes","4","3","4","5","5","5","5","4","4","4","3","5","4","5","3","","",""
"2024/05/23 2:58:52 p.m. EEST","23","Male","Slightly","No","Rarely or never","Moderately","Yes","3","4","5","4","5","5","4","5","5","5","5","4","4","5","5","It is very fun to be able to create your own environment","",""
"2024/05/23 3:03:38 p.m. EEST","25","Male","Not familiar at all","No","Rarely or never","Not interested at all","No","4","2","5","5","5","5","5","5","5","5","5","5","5","5","5","It was fun to see the environment react immediately to my actions","It was sometimes a bit difficult t understand how the system wanted me to interact with it","there should be a gif running in the background of the instructions showing you how to interact with the system"
"2024/05/23 3:07:18 p.m. EEST","21","Female","Moderately","No","Sometimes","Moderately","No","4","2","5","4","5","5","5","3","4","5","4","4","4","4","5","kunne lettere forstå hva spillet gikk ut på","","flere oppgaver"
"2024/05/23 3:12:30 p.m. EEST","24","Female","Slightly","No","Frequently","Very","No","3","3","5","4","3","3","4","4","4","3","2","4","4","4","5","Nice with an immersive experience. Interactive with a task being given to you through sound and the change of landscape when the challenges were unfolding.","It was difficult to know where to find the fish. I did not feel confident that I was doing the right changes to the landscape.","Maybe add some indication of where one has already tried to modify the landscape or more suggestions on what to do."
"2024/05/23 3:15:51 p.m. EEST","22","Male","Moderately","No","Rarely or never","Moderately","Yes","3","3","4","5","4","5","3","4","4","4","5","3","4","4","5","it was fun","","not reallly"
"2024/05/23 3:19:12 p.m. EEST","21","Male","Moderately","No","Rarely or never","Moderately","Yes","3","3","5","5","5","5","5","4","5","5","3","5","5","5","4","Fun","Intro ","No"
"2024/05/23 3:23:05 p.m. EEST","22","Male","Slightly","No","Rarely or never","Moderately","Yes","3","2","5","5","5","5","5","5","5","5","5","5","4","5","5","felt natural and easy to use","","more content and objectives!"
"2024/05/23 3:26:45 p.m. EEST","23","Male","Moderately","No","Rarely or never","Very","No","3","4","5","5","5","5","5","4","5","5","5","5","4","5","5","Easy to use, responsive system","",""
"2024/05/23 3:30:13 p.m. EEST","22","Male","Not familiar at all","No","Rarely or never","Moderately","Yes","2","3","5","5","5","5","5","4","5","5","3","5","4","5","5","","",""
"2024/05/23 3:34:30 p.m. EEST","24","Female","Not familiar at all","No","Rarely or never","Moderately","No","5","5","5","5","5","5","4","3","5","5","4","4","5","5","4","Fun, <i have never tried anything like it before","I was not long enough to reach far back","No I liked it as it is"
"2024/05/23 3:39:20 p.m. EEST","26","Male","Slightly","No","Rarely or never","Moderately","Yes","4","3","5","5","5","5","4","3","5","5","4","4","4","5","5","It felt engaging and fun like a game. I had never tried it before but heard about the concept and it was enjoyable.","It was hard to reach all of the box due to it's placement. ","Maybe move the box so it can be reached from moresides. Also I am quite tall so had to bend down to get full acsess."
